Heading,Contents,Persons,Dates,Cities,Organizations,_id
MHMR Authority Of Brazos Valley,The MHMR Authority of Brazos Valley is a public non-profit community MHMR center. Through the Texas Department of State Health Services and Texas Department of,[],22 December 2022,[Brazos Valley],[Texas Department State Health Services Texas Department],63a52ad2e45bcae2d46b70c3
Alvaria,"Alvaria, (pronounced: ahl-vahr-ee-uh), a global leader delivering optimized customer experience and workforce engagement software and cloud services technology solutions.",[Alvaria],21 December 2022,[],[],63a52ad2e45bcae2d46b70c4
Dixons Allerton Academy,"Dixons Allerton Academy (formerly Rhodesway Academy) is a coeducational all-through school and sixth form located in Allerton area of the City of Bradford, in the English county of West Yorkshire.",[],21 December 2022,"[Allerton, Bradford, West Yorkshire]",[Dixons Allerton Academy Rhodesway Academy],63a52ad3e45bcae2d46b70c5
Interface,"**** 30% OF THE DATA IS COMING SOON ****

Interface, Inc. is a global flooring company specializing in carbon neutral carpet tile and resilient flooring.

Stocks:
NASDAQ: TILE
Equity: IF6N.F, IF6N.BE, IF6N.HA",[IF6NBE],20 December 2022,[],"[carpet tile resilient, flooringStocksNASDAQ TILEEquity IF6NF]",63a52ad3e45bcae2d46b70c6
"City Of Huntsville, Texas",Huntsville Texas is a city in the Texas Hill Country.,[],20 December 2022,"[Huntsville, Texas]",[Texas Hill Country],63a52ad3e45bcae2d46b70c7
North Idaho College,"Founded in 1933, North Idaho College is a community college in Coeur d'Alene, Idaho.",[],20 December 2022,[Idaho],"[North Idaho College, Coeur]",63a52ad3e45bcae2d46b70c8
Innovative Education Management,Innovative Education Management (IEM) has been successfully developing and operating California charter schools since 1998,[],20 December 2022,[California],[Innovative Education Management IEM],63a52ad3e45bcae2d46b70c9
Stolle Machinery,"**** ALL BLUEPRINTS OF ALL PRODUCT LINES WILL BE AVAILABLE SOON ****

Stolle is the world's leading supplier of two piece can and end-making machinery for the global canmaking industry. Our high speed machines can be found in can plants around the world performing the value-added functions of the canmaking process.",[],19 December 2022,[],[],63a52ad3e45bcae2d46b70ca
JAKKS Pacific Inc,"Corporate Overview
JAKKS Pacific, Inc. is a multi-brand company that, since 1995, has been designing, developing, producing and marketing toys, leisure products and writing instruments for children and adults around the world.

The company has become a top six U.S. player in the toys and leisure products sector through product development, licensing agreements and strategic acquisitions. We believe our growth strategy is unique and built upon a concentrated effort to spread earnings across all four quarters. We have accomplished that by expanding and 'counter-seasonalizing' our product lines, adding new retail outlets and leveraging our product development and merchandising expertise on products with staying power.

About JAKKS Pacific, Inc.
JAKKS Pacific, Inc. is a leading designer, manufacturer and marketer of toys and consumer products sold throughout the world, with its headquarters in Santa Monica, California. JAKKS Pacific’s popular proprietary brands include: Fly Wheels®, Perfectly Cute®, ReDo Skateboard Co.®, X Power Dozer®, Disguise®, Weee-Do™ and a wide range of entertainment-inspired products featuring premier licensed properties. Through JAKKS Cares, the company’s commitment to philanthropy, JAKKS is helping to make a positive impact on the lives of children. Visit us at www.jakks.com and follow us on Instagram (@jakkstoys), Twitter (@jakkstoys) and Facebook (JAKKS Pacific).",[],19 December 2022,"[US, Santa Monica, California]","[Corporate OverviewJAKKS Pacific Inc, JAKKS Pacific IncJAKKS Pacific Inc, Fly Wheels Perfectly Cute ReDo Skateboard Co X Power Dozer Disguise WeeeDo, JAKKS Cares, Instagram, Facebook JAKKS Pacific]",63a52ad3e45bcae2d46b70cb
Mark-Taylor,"Established in 1985, the Mark-Taylor Companies is a privately-held, Arizona based developer, owner, and investment manager of multifamily communities. The company ranks as the largest apartment developer in Arizona, the second largest owner of rental communities in the state, and manages class-A multifamily real estate on behalf of numerous third-party owners.",[],14 December 2022,"[Arizona, Arizona]",[MarkTaylor],63a52ad3e45bcae2d46b70cc
Expand Group,"We are one of Singapore’s major
home-grown building construction groups
with integrated civil engineering and
construction support service capabilities.

We principally involved in the construction 
of residential, industrial and special niche 
projects as a main contractor.

We have since built-up an impressive track 
records of notable and iconic projects with
excellent performance and high quality
products and services to our clients.",[],14 December 2022,[],[],63a52ad3e45bcae2d46b70cd
KNOX College,"Knox College is a private liberal arts college in Galesburg, Illinois. It was founded in 1837 and offers more than 60 courses of study",[],10 December 2022,[],"[Knox College, Galesburg Illinois]",63a52ad3e45bcae2d46b70ce
INTERSPORT France,"Intersport is a French retailer of sporting goods and equipment, it also offers apparel and footwear products. Intersport is headquartered",[],8 December 2022,[],[],63a52ad4e45bcae2d46b70cf
Guilford College,"Guilford College is a small liberal arts college in Greensboro, North Carolina. Guilford has both traditional students and students who attend its Center",[],25 November 2022,"[Greensboro, North Carolina]","[Guilford College, Guilford]",63a52ad4e45bcae2d46b70d0
Norman Public Schools,"Nestled in the heart of a world-class academic community, the Norman Public School District is the seventh-largest in Oklahoma. The district, which is located near the University of Oklahoma, has earned a reputation for academic excellence, robust fine arts programs, first-rate athletic teams and providing opportunities for all students to reach their full potential.

Norman Public Schools provide an exemplary education for students through consistent curriculum, innovative partnerships and rigorous professional development for educators. The district has repeatedly been recognized for academic excellence in Newsweek, the Washington Post, U.S. News & World Report and more.",[],23 November 2022,[Oklahoma],"[Norman Public School District, University Oklahoma, Public Schools, Newsweek Washington Post US News World Report]",63a52ad4e45bcae2d46b70d1
Hydro-Gear & Agri-Fab,"Hydro-Gear, headquartered in Sullivan, Illinois, is a manufacturing company that specializes in precision drive solutions for the industrial, commercial, and co


Founded in 1975 and Headquartered in Sullivan, Illinois. Agri-Fab® is a provider of lawn and garden attachments available online and through dealers and","[Sullivan Illinois, AgriFab]",15 November 2022,[],[],63a52ad4e45bcae2d46b70d2
