Content,Date,Heading,_id
The MHMR Authority of Brazos Valley is a public non-profit community MHMR center. Through the Texas Department of State Health Services and Texas Department of,22 December 2022,MHMR Authority Of Brazos Valley,63a52ad2e45bcae2d46b70c3
"Alvaria, (pronounced: ahl-vahr-ee-uh), a global leader delivering optimized customer experience and workforce engagement software and cloud services technology solutions.",21 December 2022,Alvaria,63a52ad2e45bcae2d46b70c4
"Dixons Allerton Academy (formerly Rhodesway Academy) is a coeducational all-through school and sixth form located in Allerton area of the City of Bradford, in the English county of West Yorkshire.",21 December 2022,Dixons Allerton Academy,63a52ad3e45bcae2d46b70c5
"**** 30% OF THE DATA IS COMING SOON ****

Interface, Inc. is a global flooring company specializing in carbon neutral carpet tile and resilient flooring.

Stocks:
NASDAQ: TILE
Equity: IF6N.F, IF6N.BE, IF6N.HA",20 December 2022,Interface,63a52ad3e45bcae2d46b70c6
Huntsville Texas is a city in the Texas Hill Country.,20 December 2022,"City Of Huntsville, Texas",63a52ad3e45bcae2d46b70c7
"Founded in 1933, North Idaho College is a community college in Coeur d'Alene, Idaho.",20 December 2022,North Idaho College,63a52ad3e45bcae2d46b70c8
Innovative Education Management (IEM) has been successfully developing and operating California charter schools since 1998,20 December 2022,Innovative Education Management,63a52ad3e45bcae2d46b70c9
"**** ALL BLUEPRINTS OF ALL PRODUCT LINES WILL BE AVAILABLE SOON ****

Stolle is the world's leading supplier of two piece can and end-making machinery for the global canmaking industry. Our high speed machines can be found in can plants around the world performing the value-added functions of the canmaking process.",19 December 2022,Stolle Machinery,63a52ad3e45bcae2d46b70ca
"Corporate Overview
JAKKS Pacific, Inc. is a multi-brand company that, since 1995, has been designing, developing, producing and marketing toys, leisure products and writing instruments for children and adults around the world.

The company has become a top six U.S. player in the toys and leisure products sector through product development, licensing agreements and strategic acquisitions. We believe our growth strategy is unique and built upon a concentrated effort to spread earnings across all four quarters. We have accomplished that by expanding and 'counter-seasonalizing' our product lines, adding new retail outlets and leveraging our product development and merchandising expertise on products with staying power.

About JAKKS Pacific, Inc.
JAKKS Pacific, Inc. is a leading designer, manufacturer and marketer of toys and consumer products sold throughout the world, with its headquarters in Santa Monica, California. JAKKS Pacific’s popular proprietary brands include: Fly Wheels®, Perfectly Cute®, ReDo Skateboard Co.®, X Power Dozer®, Disguise®, Weee-Do™ and a wide range of entertainment-inspired products featuring premier licensed properties. Through JAKKS Cares, the company’s commitment to philanthropy, JAKKS is helping to make a positive impact on the lives of children. Visit us at www.jakks.com and follow us on Instagram (@jakkstoys), Twitter (@jakkstoys) and Facebook (JAKKS Pacific).",19 December 2022,JAKKS Pacific Inc,63a52ad3e45bcae2d46b70cb
"Established in 1985, the Mark-Taylor Companies is a privately-held, Arizona based developer, owner, and investment manager of multifamily communities. The company ranks as the largest apartment developer in Arizona, the second largest owner of rental communities in the state, and manages class-A multifamily real estate on behalf of numerous third-party owners.",14 December 2022,Mark-Taylor,63a52ad3e45bcae2d46b70cc
"We are one of Singapore’s major
home-grown building construction groups
with integrated civil engineering and
construction support service capabilities.

We principally involved in the construction 
of residential, industrial and special niche 
projects as a main contractor.

We have since built-up an impressive track 
records of notable and iconic projects with
excellent performance and high quality
products and services to our clients.",14 December 2022,Expand Group,63a52ad3e45bcae2d46b70cd
"Knox College is a private liberal arts college in Galesburg, Illinois. It was founded in 1837 and offers more than 60 courses of study",10 December 2022,KNOX College,63a52ad3e45bcae2d46b70ce
"Intersport is a French retailer of sporting goods and equipment, it also offers apparel and footwear products. Intersport is headquartered",8 December 2022,INTERSPORT France,63a52ad4e45bcae2d46b70cf
"Guilford College is a small liberal arts college in Greensboro, North Carolina. Guilford has both traditional students and students who attend its Center",25 November 2022,Guilford College,63a52ad4e45bcae2d46b70d0
"Nestled in the heart of a world-class academic community, the Norman Public School District is the seventh-largest in Oklahoma. The district, which is located near the University of Oklahoma, has earned a reputation for academic excellence, robust fine arts programs, first-rate athletic teams and providing opportunities for all students to reach their full potential.

Norman Public Schools provide an exemplary education for students through consistent curriculum, innovative partnerships and rigorous professional development for educators. The district has repeatedly been recognized for academic excellence in Newsweek, the Washington Post, U.S. News & World Report and more.",23 November 2022,Norman Public Schools,63a52ad4e45bcae2d46b70d1
"Hydro-Gear, headquartered in Sullivan, Illinois, is a manufacturing company that specializes in precision drive solutions for the industrial, commercial, and co


Founded in 1975 and Headquartered in Sullivan, Illinois. Agri-Fab® is a provider of lawn and garden attachments available online and through dealers and",15 November 2022,Hydro-Gear & Agri-Fab,63a52ad4e45bcae2d46b70d2
"Lake Charles Memorial Health System is the only locally owned, regional community healthcare system in Lake Charles consisting of:

Lake Charles Memorial Hospital
A 314-bed acute care facility at our main campus on Oak Park Boulevard.

Lake Charles Memorial Hospital for Women
A 54-bed women’s ob/gyn and surgical services facility at Gauthier and Nelson Roads.

Moss Memorial Health Clinic
A primary care clinic on Walters Street for those in need of healthcare, no matter what their financial or health insurance status is.

Archer Institute
A 42-bed behavioral health hospital on Nelson Road.

Memorial Medical Group
An affiliate physician group comprised of over 100 specialists with over 20 specialties and sub-specialties.

Memorial/LSUHSC Family Medicine Residency Program
A program combining the academic resources of LSUHSC New Orleans with the clinical and financial resources of southwest Louisiana's largest community-owned, non-profit healthcare system, Lake Charles Memorial.

Who We Are
The health system employs more than 2700 full-time, part-time and PRN employees and is the largest health system in the area.

Memorial is a true community health system, run by a board of local volunteers from all walks of business, industry and public service. It is one of an elite group of health systems that belongs to the people of Southwest Louisiana and serves everyone regardless of age, race, gender or financial status.",15 November 2022,LCMH,63a52ad4e45bcae2d46b70d3
"C.S. Mccrossan, Inc. provides construction infrastructure services to federal, state, county, and municipal transportation departments in the United States",10 November 2022,MCCROSSAN,63a52ad4e45bcae2d46b70d4
"Royal Gateway Company limited is leading distributor of alcohol beverage and ready to drink. These brands include: Nite, Fusion, Nadin, Eden, Geon-bae and Full Moon",7 November 2022,"ROYAL GATEWAY CO., LTD",63a52ad4e45bcae2d46b70d5
Terminal de Contenedores Quetzal,7 November 2022,APM Terminals,63a52ad4e45bcae2d46b70d6
"**** EXFILTRATED DATA IS COMING SOON ****

Headquartered in Wadsworth, Ohio, Cornwell Quality Tools is the oldest mobile tool company, with a market presence since 1919. A family and employee-owned company, Cornwell is committed to the pride that accompanies the sale of quality materials. With the use of high-grade alloy steel, combined with modern heat-treating methods, Cornwell has continued to produce the finest tools in the world, that have truly been ""The Choice of Professionals®"" for over 100 years. Products are sold via 650+ mobile tool dealers across the country. Cornwell has two state-of-the-art distribution centers located in Clearfield, Utah and Wadsworth, Ohio, along with three manufacturing facilities located in Albion, Pennsylvania (Forging Operation), Mogadore, Ohio (Hand Tool Manufacturing), and Van Wert, Ohio (Tool Storage Manufacturing).",7 November 2022,Cornwell Quality Tools,63a52ad4e45bcae2d46b70d7
"Today, Landi Renzo has become a world leader in the design and construction of systems for vehicles powered by LPG and CNG.

Operating in more than 50 countries on five continents, Landi Renzo has achieved widespread success, with a direct presence through subsidiaries and joint ventures, together with commercial distribution agreements with importers and local distributors.

This international vocation is confirmed by the share of the group's consolidated turnover attributable to exports, which exceeds 80%.
For over 60 years, we have been providing 
real and effective solutions to the challenges of environmental sustainability through the sale and installation of systems for the automotive sector based on alternative fuels that are less expensive and better for the environment.
From environmentally-friendly traditional fuels such as LPG and CNG, to the new horizons offered by automotive sector: we constantly invest in research and in the design of cutting-edge technologies to transform projects into reality.

Our innovation-driven approach is demonstrated by more than 91 patents filed over the years, which have helped to break new ground and open up new horizons for the whole industry.
Find Landi Renzo components and systems
on the vehicles of leading automakers.",3 November 2022,Landi Renzo,63a52ad5e45bcae2d46b70d8
"India's Largest Integrated Power Company
Tata Power, formerly a part of the three entities jointly known as Tata Electric Companies, is a pioneer in technology adoption, with many firsts to its credit, supporting the country's energy independence.
Tata Power, together with its subsidiaries & joint entities, has a generation capacity of 13,735 MW of which 35% comes from clean energy sources. The company has the distinction of being among the top private players in each sector of the value chain including solar rooftop and value-added services.

Tata Power is a pioneer credited with steering the energy sector on technology, process and platform. Powering emerging technologies for the 'smart' customer, Tata Power's latest business integrated solutions, focusing on mobility and lifestyle, is poised for multi-fold growth.

Since its inception in 1915, Tata Power now has over a century of expertise in technology leadership, project execution excellence, world-class safety processes, customer care and driving green initiatives, Tata Power is committed to 'lighting up lives' for generations to come.",24 October 2022,Tata Power,63a52ad5e45bcae2d46b70d9
"Município de Loures

Loures
City in Portugal
Loures is a city and a municipality in the central Portuguese Grande Lisboa Subregion. It is situated 13 km to the north of Lisbon. It was created on 26 July 1886 by a royal decree. The population in 2011 was 199,494, in an area of 167.24 km².",9 October 2022,Município De Loures,63a52ad5e45bcae2d46b70da
